Word	Frequency
the	41228
to	27058
a	23068
and	21496
de	17345
of	17275
in	14449
is	11417
you	10493
for	8928
this	8494
la	8482
play	8330
on	7955
your	7593
that	7545
en	7295
it	7250
now	6905
que	6760
with	6335
i	5735
el	5230
are	5187
y	5070
as	4928
be	4858
next	4632
by	4579
have	4355
or	4209
not	4119
los	3540
from	3512
no	3486
more	3388
at	3301
has	3263
was	3191
but	3170
will	3101
an	3043
we	2961
can	2915
un	2863
if	2764
all	2560
se	2517
up	2402
they	2357
